title,org,level,term,closing_date,posted_date
Registry Officer,MHA- Central Narcotics Bureau,Entry level,Permanent/Contract,Closing on 20 Mar 2022,5 day(s) ago
"Deputy Director, Tax & Multilateral Organisations Management",Enterprise Singapore,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
"Manager, Brand & Communications (Consumer)",National Council of Social Service,Entry level,Contract,Closing on 23 Mar 2022,1 month(s) ago
Senior Manager / Assistant Director (Learning & Development),Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
Manager/Senior Manager (Citizen & Business Projects),Smart Nation and Digital Government Office,Entry level,Permanent/Contract,Closing on 04 Apr 2022,1 week(s) ago
"Executive (Crime Cluster Litigation), Legal Operations Group #SGUnitedJobs",Attorney-General's Chambers,Entry level,Permanent/Contract,Closing in 2  day(s),1 week(s) ago
Planner,Singapore Land Authority,Entry level,Permanent/Contract,,
Quantity Surveyor,Singapore Land Authority,10-00 year(s),Permanent/Contract,,
Civil & Structural Engineer,Singapore Land Authority,10-00 year(s),Permanent/Contract,,
Project Manager,Singapore Land Authority,10-00 year(s),Permanent/Contract,,
Architect,Singapore Land Authority,15-00 year(s),Permanent/Contract,,
"Manager / Senior Manager (Policy), Regulations Division",Cyber Security Agency of Singapore,02-06 year(s),Permanent/Contract,,
"Senior Associate, Grant Processing (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
Cyber Intelligence Technical Analyst,Ministry of Home Affairs,Entry level,Permanent,Closing on 23 Mar 2022,5 day(s) ago
Cyber Intelligence Malware Analyst,Ministry of Home Affairs,Entry level,Permanent,Closing on 23 Mar 2022,5 day(s) ago
Senior Manager / Manager (Air Traffic Management Research Innovation),Civil Aviation Authority of Singapore,00-10 year(s),Contract,,
Safe Distancing Enforcement Officer (Contract),National Parks Board,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
"Manager/Assistant Director, Data & Systems Strategy (FEDS/FDG)",Ministry Of Social And Family Development,Entry level,Contract,Closing on 25 Mar 2022,3 day(s) ago
Deputy Director (Training Programmes),Civil Aviation Authority of Singapore,10-15 year(s),Contract,,
Cyber Analytics Engineer,Ministry of Home Affairs,Entry level,Permanent,Closing on 23 Mar 2022,5 day(s) ago
"Learning Technologist, Training Excellence",Civil Aviation Authority of Singapore,02-08 year(s),Contract,,
BFA Data Collection Manager (11 Months Contract),Singapore Land Authority,Entry level,Contract,Closing on 28 Mar 2022,3 week(s) ago
Operations Engineer (Infocomm Platforms),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Operations Engineer (Infocomm Networks),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Network Engineer,Centre for Strategic Infocomm Technologies,02-05 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Manager Digital Services (Enterprise Solution),Centre for Strategic Infocomm Technologies,07-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Manager Digital Product (Enterprise System),Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Engineering Manager (Threat Research),Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Engineering Manager (Threat Prioritisation),Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Engineering Manager (Data Exploration Platform),Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Engineering Manager (Big Data Platform),Centre for Strategic Infocomm Technologies,08-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Engineering Manager (Big Data Engineering),Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
"Deputy Director, Strategic Leadership (Sun Ray & Boards)",National Council of Social Service,08-10 year(s),Permanent/Contract,Closing on 21 Mar 2022,3 week(s) ago
Engineering Manager (Tactical Command & Control Products),Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Digital Workplace Engineer,Centre for Strategic Infocomm Technologies,01-02 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Digital Business Analyst (Enterprise System),Centre for Strategic Infocomm Technologies,03-05 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Data Scientist (Threat Discovery),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Data Engineer (Architecting & Data Systems),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Data Engineer (High Speed Packet Processing),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Data Engineer (Big Data Engineering),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Data Centre Engineer,Centre for Strategic Infocomm Technologies,02-05 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Data Analyst,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Cybersecurity Penetration Test Specialist,Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cybersecurity Penetration Test Specialist,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Cyber Threat Investigator,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Threat Investigator,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Software Engineer,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cybersecurity Engineers (Security Operations),Government Technology Agency,Entry level,Fixed Terms,,
Application Infrastructure Engineer (Enterprise Cloud Software Development),Government Technology Agency,Entry level,Fixed Terms,,
Application Infrastructure Engineer (Cloud Infrastructure Projects),Government Technology Agency,Entry level,Fixed Terms,,
Cyber Security Researcher,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Researcher (Telecommunications),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Agency Chief Information Security Officer,Government Technology Agency,Entry level,Permanent,,
Cyber Security Researcher (Malware Analysis),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Researcher (Applied Crypto),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Researcher (Embedded Device),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Technology Exploration Specialist,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Cyber Security Researcher (Security Products and Technologies),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Optical Communications Engineer,Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
"Senior Manager/ Assistant Director – Data Hub, Research and Insights",Sport Singapore,08-12 year(s),Contract,Closing in 5  day(s),1 week(s) ago
Leasing Executive (Space Management) (6-Month Contract),Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
"Manager/Senior Manager, Resource Management & Governance [MIPD] [2-Yrs Contract]",SkillsFuture Singapore,Entry level,Fixed Terms,Closing on 31 Mar 2022,1 month(s) ago
Workplace Technologies Engineer,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Systems Engineer (Cyber Defence System),Centre for Strategic Infocomm Technologies,03-05 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer,Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Web Content Mgt),Centre for Strategic Infocomm Technologies,02-03 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Threat Research),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Threat Prioritisation),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Threat Intelligence),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Profiling and Analytics System),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Infrastructure),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Digital Dissemination and e-Reading Platform II),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Digital Dissemination and e-Reading Platform I),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Data Products),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Software Engineer (Cybersecurity Operations Systems),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior UX Designer,Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Threat Research),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Threat Prioritisation),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Threat Intelligence),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Tactical Command & Control Products),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Profiling and Analytics System),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Enterprise Systems),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Digital Dissemination and e-Reading Platform),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Cybersecurity Operations Systems),Centre for Strategic Infocomm Technologies,08-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Command and Control Systems),Centre for Strategic Infocomm Technologies,06-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Software Engineer (Analysis & Decision-Support Platform),Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior R&D Engineer (Cybersecurity Operations Systems),Centre for Strategic Infocomm Technologies,08-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Data Scientist,Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Data Scientist (Threat Discovery),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Data Engineer (Cybersecurity Operations Systems),Centre for Strategic Infocomm Technologies,08-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Senior Data Engineer (Big Data Engineering),Centre for Strategic Infocomm Technologies,05-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
R&D Engineer (Human Language Technology),Centre for Strategic Infocomm Technologies,Entry level,Permanent,Closing on 30 Jun 2022,1 month(s) ago
Product Manager (Threat Research),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Product Manager (Tactical Command & Control Products),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
Product Manager (Profiling and Analytics),Centre for Strategic Infocomm Technologies,03-10 year(s),Permanent,Closing on 30 Jun 2022,1 month(s) ago
SLA Internship 2022,Singapore Land Authority,Entry level,Internship,,
"Development Partner, Innovation Eco-system Development (Contract)",Enterprise Singapore,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"(Snr) Business Partner, People & Culture Systems Specialist (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 5  day(s),1 week(s) ago
Senior Manager / Manager (Security & Estate Management),Ministry of Health,Entry level,Permanent/Contract,Closing on 05 Apr 2022,6 day(s) ago
"Senior / Assistant Director (Ops Centre, Home Recovery Task Group)",Ministry of Health,Entry level,Contract,Closing on 05 Apr 2022,6 day(s) ago
"Senior Manager / Manager (Ops Centre, Home Recovery Task Group)",Ministry of Health,Entry level,Contract,Closing on 05 Apr 2022,6 day(s) ago
"Senior Manager, Community Chest (Relations & Engagement 2)",National Council of Social Service,Entry level,Contract,Closing on 23 Mar 2022,1 month(s) ago
Senior Manager (Human Capital Development),Building and Construction Authority,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
"Senior Manager / Assistant Vice President, Human Capital Division",Economic Development Board,Entry level,Permanent,,
"Psychologist/Senior Psychologist (Functional Family Therapy), RPG-CFPS",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
Oral Examiners for Mother Tongue Languages (Secondary & JC–Level),Singapore Examinations and Assessment Board,Entry level,External,,
Markers for EL (Pri & Sec) or MTLs (Sec & JC),Singapore Examinations and Assessment Board,Entry level,External,,
